Food Environment Index,% With Access to Exercise Opportunities,% Uninsured,% Completed High School,% Some College,Average Daily PM2.5,Presence of Water Violation,% Food Insecure,Median Household Income,% Homeowners,Value
6.5,27,12,85,60,8.6,No,18,48493,59,223.6
5.1,27,9,78,47,9.1,Yes,21,35992,67,246.1
5.6,27,21,77,49,8.2,No,15,44871,75,218.5
8,27,17,86,48,8.2,No,14,53841,63,168.6
7.5,27,7,91,64,9.1,No,14,53686,77,179.9
6.6,27,5,94,68,8.2,No,9,62234,77,173.7
4.7,27,8,77,47,7.9,Yes,25,33852,72,400.7
8.9,27,7,93,68,6.7,No,9,65446,83,143.6
6.5,27,16,81,53,8.6,No,18,46368,67,258.5
6.9,27,17,88,51,9.6,No,17,42806,84,253.4
3.7,27,16,77,41,8.9,No,20,35150,64,196.8
7.6,27,13,82,54,8.2,No,15,48070,74,183.5
6.4,27,12,84,54,6.5,Yes,15,45365,65,185.2
7.3,27,12,89,52,6.7,No,14,57680,77,183.5
7.5,27,15,85,57,8.6,No,15,53154,76,160.7
8.6,27,9,92,68,6.4,No,5,70835,80,174.6
7,27,13,78,35,8.4,No,17,43386,57,277.9
6.7,27,17,87,47,9.8,Yes,18,50595,80,218.4
6.7,27,24,85,55,9.5,No,16,57891,79,225.9
6.4,27,10,87,43,7.2,No,13,46879,78,203.7
6.3,28,10,87,53,9.7,No,18,47049,70,200.2
6.3,28,12,85,61,8.8,No,19,46495,74,201.7
6.3,28,18,76,35,9.7,No,16,45838,67,234.5
5.8,28,16,88,54,8.4,Yes,16,45974,81,198.8
8.1,28,8,84,48,8.9,No,14,60824,71,202.9
6.4,28,10,85,45,9.4,Yes,17,52901,73,235.7
6.5,28,13,85,40,9.9,Yes,16,38833,70,218.9
7.1,28,9,88,53,7.5,No,16,48694,86,232.4
7.2,28,13,87,38,8.9,No,14,51255,71,200.1
7.2,28,10,93,69,8.3,No,14,51874,75,153.7
8,28,9,92,68,4.4,No,6,76478,77,143.3
8.6,28,7,94,76,2.8,No,3,73567,79,123.3
7,28,9,84,48,8.5,No,19,46413,67,240.8
7.8,28,15,88,61,8.2,No,12,52504,68,230.1
6.7,28,21,86,47,9.7,Yes,15,59746,74,264.3
7.6,28,14,93,58,4.3,No,12,58901,84,159.6
5.9,29,13,85,58,9.3,No,20,32275,63,235
6.1,29,10,84,55,8.9,No,20,43723,67,228.3
6.7,29,9,89,50,9.1,No,18,53821,67,194.7
7,29,11,86,55,8.5,No,18,39888,80,219.3
6.1,29,11,85,51,10,No,16,46838,77,181.3
7.3,29,15,82,41,8.4,No,15,44108,72,199.2
7.5,29,16,87,42,7.7,No,14,48097,82,165.1
7.7,29,12,91,66,8,No,11,53709,80,157
7.6,29,12,93,67,6.8,Yes,12,56536,78,170.3
7.4,29,9,86,51,9.2,No,16,50292,82,183.2
6.2,29,9,78,45,7.9,Yes,22,35087,71,287.9
7.5,29,8,80,51,8.3,No,17,42205,77,233.8
8.4,29,9,79,39,9.6,No,13,52158,80,283.5
6.5,29,10,85,32,9.8,Yes,15,42342,81,155.2
6.8,29,12,81,35,8.8,No,19,38513,77,288.4
8.4,29,7,90,61,6.4,No,10,62422,83,136
8.2,29,12,90,60,9.2,Yes,12,70054,80,172.5
4.8,29,19,81,50,8.3,No,22,38606,79,182.6
7.2,29,16,87,50,7.7,No,17,41486,80,206
6.9,29,20,89,57,6.2,No,16,43256,64,257.8
8.9,29,8,95,74,7.2,No,9,64087,78,150.7
6.5,29,22,87,42,10,Yes,19,37535,78,317.2
6.9,29,18,90,53,9,Yes,15,45719,73,243.8
6.5,29,20,86,51,9.5,No,17,40249,69,300.8
2.9,29,24,85,45,6.6,Yes,16,50062,71,199.5
6.6,29,21,82,55,9.5,No,17,54502,77,186.6
5.8,29,30,81,53,6.7,Yes,19,36654,69,186.7
8.7,29,11,88,61,7,No,8,70046,81,149.6
6.8,29,11,80,55,7.9,No,13,41706,72,176
7.6,29,9,84,45,7.9,Yes,14,45066,80,204.7
8.4,29,16,83,46,7.5,Yes,9,55808,78,161
7.7,30,13,94,58,4.6,Yes,12,89502,77,114.7
5.6,30,9,84,58,9.1,No,18,41188,69,229
